City_ID,City,Country,Lat,Lng,Max Temp(C),Humidity,Cloudiness,Wind Speed,Current Description,Date
525,Batagay,RU,67.6333,134.6333,-30.63,95,77,1.56,broken clouds,2022-02-13 10:12:24
526,Alberton,CA,46.8168,-64.0654,-11.37,80,86,6.99,overcast clouds,2022-02-13 10:12:25
527,Tynda,RU,55.1667,124.7167,-25.02,96,90,1.32,overcast clouds,2022-02-13 10:12:27
528,Bereda,ES,43.2686,-7.5406,11.06,75,100,4.82,overcast clouds,2022-02-13 10:12:28
529,Kendari,ID,-3.945,122.4989,24.4,93,99,2.34,light rain,2022-02-13 10:12:30
530,Richards Bay,ZA,-28.783,32.0377,33.44,41,0,6.29,clear sky,2022-02-13 10:12:31
531,Amursk,RU,50.2261,136.8994,-8.56,89,100,4.83,overcast clouds,2022-02-13 10:12:32
532,Borova,UA,50.1763,30.1043,3.52,40,14,5.02,few clouds,2022-02-13 10:12:34
533,Tocache,PE,-8.1842,-76.5125,20.36,99,100,0.34,overcast clouds,2022-02-13 10:12:35
534,Verkh-Chebula,RU,56.0308,87.6218,-14.54,90,7,2.92,clear sky,2022-02-13 10:12:36
535,Darhan,MN,49.4867,105.9228,-24.76,96,64,1.08,broken clouds,2022-02-13 10:12:38
536,Zaozerne,UA,45.1582,33.2787,7.75,53,28,6.09,scattered clouds,2022-02-13 10:12:17
537,Gornopravdinsk,RU,60.05,69.9,-13.75,86,100,2.35,overcast clouds,2022-02-13 10:12:40
538,Kalutara,LK,6.5831,79.9593,26.8,72,98,5.77,light rain,2022-02-13 10:12:42
539,Sawakin,SD,19.1059,37.3321,25.91,50,1,8.97,clear sky,2022-02-13 10:12:43
540,Santa Teresa,VE,10.2341,-66.6631,21.51,84,86,0.71,overcast clouds,2022-02-13 10:12:44
541,Aklavik,CA,68.2191,-135.0107,-40.02,100,20,1.61,few clouds,2022-02-13 10:12:46
542,Kawalu,ID,-7.3817,108.2082,22.97,98,100,0.54,moderate rain,2022-02-13 10:12:47
543,Sorland,NO,67.667,12.6934,-1.96,80,100,1.32,overcast clouds,2022-02-13 10:12:48
544,North Vanlaiphai,IN,23.1333,93.0667,20.59,19,0,2.23,clear sky,2022-02-13 10:12:51
545,San Jeronimo,PE,-11.9472,-75.2829,7.48,89,92,0.88,overcast clouds,2022-02-13 10:12:52
546,Atbasar,KZ,51.8,68.3333,-7.33,91,37,3.65,scattered clouds,2022-02-13 10:12:54
547,Hasaki,JP,35.7333,140.8333,5.22,89,100,7.38,overcast clouds,2022-02-13 10:12:55
548,Poronaysk,RU,49.2167,143.1167,-8.98,90,100,2.82,overcast clouds,2022-02-13 10:12:56
549,Broken Hill,AU,-31.95,141.4333,32.0,20,9,4.79,clear sky,2022-02-13 10:12:58
550,Dingle,PH,10.9995,122.6711,25.82,83,100,3.76,overcast clouds,2022-02-13 10:12:59
551,Dalbandin,PK,28.8947,64.4101,21.03,13,39,2.56,scattered clouds,2022-02-13 10:13:00
552,Krasnoselkup,RU,65.7,82.4667,-16.33,84,4,5.71,clear sky,2022-02-13 10:13:03
553,Daru,PG,-9.0763,143.2092,26.71,78,9,4.69,clear sky,2022-02-13 10:13:04
554,Tautira,PF,-17.7333,-149.15,26.01,76,100,6.29,light rain,2022-02-13 10:13:06
555,Uinskoye,RU,56.8817,56.5813,-3.07,90,100,2.63,light snow,2022-02-13 10:13:07
556,Vallenar,CL,-28.5708,-70.7581,15.79,82,0,0.84,clear sky,2022-02-13 10:13:08
557,Walvis Bay,NA,-22.9575,14.5053,25.05,67,82,2.7,broken clouds,2022-02-13 10:13:10
558,Kolosovka,RU,56.4678,73.611,-10.84,91,100,1.32,light snow,2022-02-13 10:13:11
559,Tahe,CN,52.3333,124.7333,-19.14,96,100,1.35,overcast clouds,2022-02-13 10:13:13
560,Ola,RU,59.5833,151.2833,-22.02,84,50,3.47,scattered clouds,2022-02-13 10:13:14
561,Boditi,ET,6.9667,37.8667,26.88,22,65,3.17,broken clouds,2022-02-13 10:13:15
562,Novopavlovka,RU,51.2172,109.2091,-23.5,93,93,0.98,overcast clouds,2022-02-13 10:13:17
563,Huilong,CN,31.8111,121.655,7.8,81,100,3.09,light rain,2022-02-13 10:13:18
564,The Valley,AI,18.217,-63.0578,25.05,76,5,10.36,clear sky,2022-02-13 10:13:20
565,Arman,RU,59.7,150.1667,-22.49,81,71,3.7,broken clouds,2022-02-13 10:13:21
566,Oranjestad,AW,12.524,-70.027,25.78,79,50,10.3,scattered clouds,2022-02-13 10:13:22
567,Portland,US,45.5234,-122.6762,8.99,57,0,4.92,clear sky,2022-02-13 10:10:18
568,Meulaboh,ID,4.1363,96.1285,28.59,73,62,3.33,broken clouds,2022-02-13 10:13:25
569,Kibuye,RW,-2.0597,29.3482,23.3,58,98,1.02,overcast clouds,2022-02-13 10:13:26
570,Asyut,EG,27.181,31.1837,21.9,20,0,3.58,clear sky,2022-02-13 10:13:27
571,Kapit,MY,2.0167,112.9333,26.09,90,99,0.38,overcast clouds,2022-02-13 10:13:29
572,Burnie,AU,-41.0667,145.9167,17.75,90,99,1.89,overcast clouds,2022-02-13 10:13:30
573,Azangaro,PE,-14.9167,-70.2167,3.77,89,87,0.83,overcast clouds,2022-02-13 10:13:32
574,Mpulungu,ZM,-8.7623,31.1141,24.41,76,100,0.68,light rain,2022-02-13 10:13:33
575,Ibirite,BR,-20.0219,-44.0589,19.73,93,67,0.61,broken clouds,2022-02-13 10:13:34
576,Rantepao,ID,-2.9701,119.8978,21.01,97,93,0.57,overcast clouds,2022-02-13 10:13:36
577,Menongue,AO,-14.6585,17.691,23.8,63,97,4.92,light rain,2022-02-13 10:13:37
578,Khvorostyanka,RU,52.6096,48.9597,-5.06,90,33,4.37,light snow,2022-02-13 10:13:38
579,Cabedelo,BR,-6.9811,-34.8339,28.37,71,34,4.17,scattered clouds,2022-02-13 10:13:40
580,Northam,GB,51.0333,-4.2167,10.23,94,100,13.5,moderate rain,2022-02-13 10:13:42
581,Balsas,BR,-7.5325,-46.0356,23.22,90,97,0.37,overcast clouds,2022-02-13 10:13:44
582,Howard Springs,AU,-12.497,131.047,30.95,75,26,1.88,scattered clouds,2022-02-13 10:13:46
583,Port Moresby,PG,-9.4431,147.1797,26.2,77,5,4.66,clear sky,2022-02-13 10:13:49
584,Tchollire,CM,8.4022,14.1698,32.46,9,65,2.57,broken clouds,2022-02-13 10:13:50
585,Bay Roberts,CA,47.5999,-53.2648,8.14,93,98,5.36,overcast clouds,2022-02-13 10:13:51
586,Tevaitoa,PF,-16.7833,-151.5,27.13,75,89,6.42,overcast clouds,2022-02-13 10:13:53
587,Maryville,US,35.7565,-83.9705,2.04,81,100,3.6,overcast clouds,2022-02-13 10:13:54
588,Safranbolu,TR,41.2508,32.6942,7.85,76,100,1.44,overcast clouds,2022-02-13 10:13:56
589,Manggar,ID,-2.8833,108.2667,28.02,74,99,2.48,overcast clouds,2022-02-13 10:13:58
590,Batetskiy,RU,58.6461,30.3027,-0.62,91,100,4.87,snow,2022-02-13 10:13:59
591,Korgen,NO,66.0771,13.8153,-1.26,96,100,2.01,light snow,2022-02-13 10:14:01
592,Noumea,NC,-22.2763,166.4572,28.33,99,100,4.38,overcast clouds,2022-02-13 10:14:02
593,Coahuayana,MX,18.7333,-103.6833,22.56,51,69,1.38,broken clouds,2022-02-13 10:14:04
594,Jorochito,BO,-18.05,-63.4333,19.85,79,99,2.43,overcast clouds,2022-02-13 10:14:05
595,Bintulu,MY,3.1667,113.0333,26.78,82,86,1.43,overcast clouds,2022-02-13 10:14:06
596,Manokwari,ID,-0.8667,134.0833,26.46,82,85,3.79,overcast clouds,2022-02-13 10:14:08
597,Santander,ES,43.4647,-3.8044,15.95,49,0,8.23,clear sky,2022-02-13 10:12:41
598,Lagoa,PT,39.05,-27.9833,14.79,71,65,6.62,broken clouds,2022-02-13 10:14:10
599,Ostrovnoy,RU,68.0531,39.5131,-6.76,85,97,4.69,light snow,2022-02-13 10:14:12
600,Verkhnyaya Inta,RU,65.9811,60.3094,-11.28,81,99,3.52,overcast clouds,2022-02-13 10:14:13
601,Inongo,CD,-1.95,18.2667,27.01,68,93,2.78,overcast clouds,2022-02-13 10:14:14
602,Atar,MR,20.5169,-13.0499,21.18,21,89,5.11,overcast clouds,2022-02-13 10:14:16
603,Salinas,US,36.6777,-121.6555,18.72,55,0,3.6,clear sky,2022-02-13 10:14:17
604,Northport,US,33.229,-87.5772,3.16,64,100,4.63,overcast clouds,2022-02-13 10:10:52
605,Kopong,BW,-24.4833,25.8833,31.61,21,57,4.15,broken clouds,2022-02-13 10:14:20
606,Ushtobe,KZ,45.2514,77.9838,-1.15,81,100,0.36,overcast clouds,2022-02-13 10:14:21
607,Barreirinha,BR,-2.7933,-57.07,22.84,98,100,1.16,overcast clouds,2022-02-13 10:14:22
608,Maragogi,BR,-9.0122,-35.2225,26.66,78,13,3.51,few clouds,2022-02-13 10:14:24
609,Nanortalik,GL,60.1432,-45.2371,-3.12,85,100,5.82,light snow,2022-02-13 10:14:25
610,Porohy,UA,48.6876,24.2632,-0.1,57,1,1.62,clear sky,2022-02-13 10:14:26
611,Peniche,PT,39.3558,-9.3811,15.34,85,98,6.79,overcast clouds,2022-02-13 10:14:31
612,Neuquen,AR,-38.9516,-68.0591,17.33,26,12,1.89,few clouds,2022-02-13 10:14:33
