City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Vicuna,CL,2022-02-11 07:09:53,-30.0319,-70.7081,58.73,88,0,1.34
280,Kirakira,SB,2022-02-11 07:09:53,-10.4544,161.9205,80.4,87,96,8.39
281,Port Lincoln,AU,2022-02-11 07:09:54,-34.7333,135.8667,70.0,53,69,12.66
282,Derzhavinsk,KZ,2022-02-11 07:09:54,51.1,66.3167,18.48,92,100,18.34
283,Sterlitamak,RU,2022-02-11 07:09:54,53.6246,55.9502,21.67,94,100,9.98
284,Havre-Saint-Pierre,CA,2022-02-11 07:09:55,50.2334,-63.5986,32.36,93,100,5.75
285,Buraydah,SA,2022-02-11 07:09:55,26.326,43.975,60.19,37,0,13.11
286,Verkhnetulomskiy,RU,2022-02-11 07:09:56,68.6073,31.7962,2.88,99,91,2.59
287,Bontang,ID,2022-02-11 07:09:56,0.1333,117.5,77.09,88,100,3.74
288,Umm Lajj,SA,2022-02-11 07:09:57,25.0213,37.2685,65.26,44,0,15.9
289,Tomatlan,MX,2022-02-11 07:09:57,19.9333,-105.25,61.18,51,0,3.87
290,Bambous Virieux,MU,2022-02-11 07:09:57,-20.3428,57.7575,84.45,70,40,9.22
291,Shakawe,BW,2022-02-11 07:09:58,-18.3667,21.85,72.39,78,80,6.8
292,Orange Cove,US,2022-02-11 07:09:58,36.6244,-119.3137,54.88,48,0,3.69
293,Luderitz,NA,2022-02-11 07:09:34,-26.6481,15.1594,71.65,62,26,6.96
