City_ID,City,Country,Max Temp(C),Current Description,Lat,Lng,Hotel Name
113,Bredasdorp,ZA,25.71,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
115,Kanker,IN,29.03,clear sky,20.2719,81.4931,STARiHOTEL Kanker
123,Ahuimanu,US,23.03,light rain,21.4447,-157.8378,Paradise Bay Resort
124,Porangatu,BR,20.81,moderate rain,-13.4408,-49.1486,Wembley Park Hotel
125,Guaiba,BR,23.1,broken clouds,-30.1139,-51.325,Hotel Guaíba
129,Lorengau,PG,27.74,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
131,Bengkulu,ID,28.55,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
134,Namatanai,PG,26.96,light rain,-3.6667,152.4333,Seagulls Inn Namatani
135,Sinnamary,GF,24.43,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
138,Cabo San Lucas,MX,20.28,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
140,Sungaipenuh,ID,22.94,overcast clouds,-2.0833,101.3833,penginapan citra alam
144,Moerai,PF,26.15,overcast clouds,-22.4333,-151.3333,Le Manotel
146,Lashio,MM,24.48,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
148,Yeppoon,AU,25.88,clear sky,-23.1333,150.7333,Villa Mar Colina
151,Kasane,BW,28.09,scattered clouds,-17.8167,25.15,The Old House
156,Caala,AO,24.15,overcast clouds,-12.8525,15.5606,Adymuzik Oficial
157,Itarema,BR,25.72,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
160,Umm Lajj,SA,23.49,clear sky,25.0213,37.2685,Moon light Furnished Units
161,Dubbo,AU,21.07,clear sky,-32.25,148.6167,Quality Inn Dubbo International
164,Waingapu,ID,27.43,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
165,Alta Floresta,BR,20.57,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
169,Clarence Town,AU,22.7,few clouds,-32.5833,151.7833,River Downs Cottage
175,Lima,PE,20.5,clear sky,-12.0432,-77.0282,Hotel Kamana
178,Pisco,PE,20.03,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
185,Sao Miguel Do Araguaia,BR,21.37,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
187,Prainha,BR,22.69,overcast clouds,-1.8,-53.48,Casa Rocha
191,Mabaruma,GY,21.26,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
192,Tura,IN,23.15,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
193,Cuamba,MZ,27.51,light rain,-14.8031,36.5372,Hotel Vision
196,Santa Rosa,PH,28.95,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
204,Honiara,SB,26.28,overcast clouds,-9.4333,159.95,Heritage Park Hotel
205,Faanui,PF,27.21,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
207,Touros,BR,27.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
215,Arraial Do Cabo,BR,23.92,few clouds,-22.9661,-42.0278,Pousada Porto Praia
216,Puerto Leguizamo,CO,22.02,overcast clouds,-0.1934,-74.7819,la casona de juancho
224,Keti Bandar,PK,23.92,clear sky,24.1447,67.4497,Haji laloo memon house
228,Guiratinga,BR,20.68,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
234,Redlands,US,20.26,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
235,Cayenne,GF,25.61,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
240,Mattru,SL,29.82,few clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
244,Mocuba,MZ,27.0,moderate rain,-16.8392,36.9856,Phama Lodge
245,Myitkyina,MM,25.62,clear sky,25.3833,97.4,Shwe Phyu Hotel
246,Mancio Lima,BR,21.52,overcast clouds,-7.6142,-72.8958,Motel Asas Do Desejo
248,Gizo,SB,28.34,overcast clouds,-8.103,156.8419,Imagination Island
249,Icod De Los Vinos,ES,20.43,clear sky,28.3724,-16.7119,Hotel Rural El Patio
250,Tocopilla,CL,20.34,scattered clouds,-22.092,-70.1979,Hotel Galvarino
252,Cockburn Town,TC,24.85,clear sky,21.4612,-71.1419,Osprey Beach Hotel
253,Mwense,ZM,21.33,light rain,-10.3845,28.698,Mwense Council Guest House
259,Bathsheba,BB,24.34,broken clouds,13.2167,-59.5167,Atlantis Hotel
261,Hobyo,SO,27.93,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
